name,age,nationality,team,mascot,position,games_played,goals,assists,points
Carter Rowney,28,CAN,PIT,penguins,RW/C,27,3,4,7
Chad Ruhwedel,27,USA,PIT,penguins,D,34,2,8,10
Rickard Rakell,24,SWE,ANA,ducks,C/RW,71,33,18,51
Bryan Rust,25,USA,PIT,penguins,RW,57,15,13,28
Justin Schultz,27,CAN,PIT,penguins,D,78,12,39,51
Tom Sestito,30,USA,PIT,penguins,LW,13,0,2,2
Conor Sheary,25,USA,PIT,penguins,LW,61,23,30,53
Dominik Simon,23,CZE,PIT,penguins,C,2,0,1,1
Mason Raymond,32,CAN,ANA,ducks,LW,4,0,0,0
Oskar Sundqvist,23,SWE,PIT,penguins,C,10,0,0,0
David Warsofsky,27,USA,PIT,penguins,D,7,0,1,1
Scott Wilson,25,CAN,PIT,penguins,LW/C,78,8,18,26
Frank Corrado,24,CAN,PIT/TOR,penguins,D,4,0,0,0
Eric Fehr,32,CAN,PIT/TOR,penguins,C/RW,53,6,5,11
Mikkel Boedker,28,DNK,S.J,sharks,LW/RW,81,10,16,26
Justin Braun,30,USA,S.J,sharks,D,81,4,9,13
Brent Burns,32,CAN,S.J,sharks,D/RW,82,29,47,76
Ryan Carpenter,26,USA,S.J,sharks,C,11,2,2,4
Brad Richardson,32,CAN,ARI,coyotes,RW/C,16,5,4,9
Tobias Rieder,24,DEU,ARI,coyotes,RW/C,80,16,18,34
Logan Couture,28,CAN,S.J,sharks,C/LW,73,25,27,52
